2.1316e-14,23.005
0.53837,40.144
3.7322,56.949
6.7746,73.833
11.252,90.319
20.337,104.88
33.188,116.38
48.396,125
65.408,128
82.378,123.91
96.747,114.46
109.96,103.34
118.46,88.714
121.39,71.983
124.21,55.29
128,38.646
127.44,21.997
6.3174,11.59
14.442,4.3318
25.108,1.2946
36.211,1.4211e-14
46.987,2.0996
75.316,3.1487
86.451,2.4805
97.567,4.2944
108.46,6.6633
118.92,10.327
61.745,15.895
61.283,27.703
60.923,39.474
61.06,51.133
49.282,64.714
55.281,65.853
61.341,66.203
67.297,65.77
73.022,64.578
20.236,28.669
28.249,22.409
38.501,23.167
45.984,29.952
37.207,31.089
28.513,31.283
78.215,27.898
86.159,21.286
96.745,21.383
105.01,27.659
96.262,30.136
87.118,29.79
41.868,90.704
47.813,86.115
53.802,81.581
61.102,80.94
69.347,81.4
76.96,84.976
84.825,87.432
77.937,92.239
69.999,95.203
61.764,96.99
54.546,96.723
47.723,94.581
46.571,86.889
51.253,86.815
61.32,87.383
73.145,85.554
78.989,85.675
73.018,85.734
61.253,87.565
51.154,87.012
