0.36188,19.853
1.4211e-14,38.682
0.59234,57.501
2.1119,76.307
6.9548,94.26
17.561,108.97
32.502,118.75
48.716,126.33
65.916,128
83.02,126.09
98.45,117.89
111.76,106.29
120.37,90.378
126.22,72.936
127.78,54.659
128,36.093
125.68,17.961
7.7422,8.9864
16.715,2.0864
27.494,-1.4211e-14
38.599,0.58148
49.249,3.6011
74.983,6.0045
85.267,1.5822
96.207,0.13408
107.15,0.73614
116.78,6.1067
64.757,19.046
64.868,32.123
64.777,45.128
64.564,58.095
51.171,67.989
57.374,69.402
63.658,70.167
69.946,69.675
75.975,68.092
21.195,24.774
30.636,20.592
40.897,21.148
48.984,27.442
39.624,27.546
30.252,27.017
78.98,28.007
87.661,21.832
98.178,21.165
107.36,26.19
97.984,28.268
88.513,28.247
38.004,83.198
46.685,81.654
55.372,80.33
63.992,81.082
72.932,80.343
81.785,82.046
90.639,82.827
82.497,89.345
73.247,93.624
63.347,94.898
54.013,93.731
45.622,89.125
44.413,84.701
50.845,84.756
63.53,85.996
77.125,84.227
83.867,84.435
76.999,84.389
63.525,86.154
50.707,84.885
